X,Y
-2.7,-1.41290498
-2.69,-1.40645099
-2.68,-1.3944993
-2.67,-1.37716675
-2.66,-1.35460019
-2.65,-1.32697546
-2.64,-1.29449677
-2.63,-1.25739515
-2.62,-1.21592665
-2.61,-1.17037416
-2.6,-1.12104082
-2.59,-1.06825125
-2.58,-1.01234961
-2.57,-0.953697145
-2.56,-0.892670035
-2.55,-0.829657733
-2.54,-0.765060484
-2.53,-0.699287295
-2.52,-0.632753193
-2.51,-0.565877378
-2.5,-0.499080569
-2.49,-0.432782769
-2.48,-0.367400706
-2.47,-0.303345799
-2.46,-0.241021544
-2.45,-0.180821538
-2.44,-0.123126745
-2.43,-0.068304002
-2.42,-0.016703665
-2.41,3.13E-02
-2.4,7.55E-02
-2.39,0.115549803
-2.38,0.151155591
-2.37,0.182101369
-2.36,0.208171904
-2.35,0.229182065
-2.34,0.244974613
-2.33,0.255422235
-2.32,0.260427952
-2.31,0.259925783
-2.3,0.253881216
-2.29,0.242291152
-2.28,0.225184262
-2.27,0.202620387
-2.26,0.174690902
-2.25,0.141517222
-2.24,0.1032511
-2.23,6.01E-02
-2.22,1.22E-02
-2.21,-0.040156066
-2.2,-0.096710742
-2.19,-0.157186508
-2.18,-0.221275628
-2.17,-0.288649559
-2.16,-0.358960867
-2.15,-0.431845158
-2.14,-0.506923079
-2.13,-0.583802581
-2.12,-0.662082791
-2.11,-0.741348922
-2.1,-0.821185768
-2.09,-0.901172519
-2.08,-0.980887234
-2.07,-1.05990875
-2.06,-1.13781953
-2.05,-1.21420765
-2.04,-1.28866947
-2.03,-1.36081147
-2.02,-1.43025279
-2.01,-1.49662721
-2,-1.55958533
-1.99,-1.61879623
-1.98,-1.67394996
-1.97,-1.72475863
-1.96,-1.77095819
-1.95,-1.8123101
-1.94,-1.84860265
-1.93,-1.87965226
-1.92,-1.90530336
-1.91,-1.92543113
-1.9,-1.93994117
-1.89,-1.94877005
-1.88,-1.95188558
-1.87,-1.94928741
-1.86,-1.94100666
-1.85,-1.9271059
-1.84,-1.90767872
-1.83,-1.88284945
-1.82,-1.852772
-1.81,-1.81762886
-1.8,-1.77763176
-1.79,-1.7330184
-1.78,-1.68405151
-1.77,-1.63101816
-1.76,-1.57422781
-1.75,-1.51401043
-1.74,-1.45071459
-1.73,-1.3847059
-1.72,-1.31636441
-1.71,-1.2460829
-1.7,-1.17426431
-1.69,-1.10131991
-1.68,-1.02766585
-1.67,-0.953724205
-1.66,-0.879915595
-1.65,-0.806660175
-1.64,-0.734374523
-1.63,-0.663469017
